"Feature_Idx","Frequency","Feature"
56,1830,"P3"
46,1787,"M4"
57,1704,"P4"
20,1699,"E19"
60,1619,"P7"
53,1593,"P12"
77,1573,"V3"
66,1552,"S2"
54,1529,"P13"
45,1477,"M3"
68,1476,"S5"
41,1467,"M15"
58,1434,"P5"
69,1399,"S6"
59,1365,"P6"
79,1363,"V5"
70,1348,"S7"
29,1344,"I1"
32,1343,"I4"
47,1337,"M7"
27,1310,"E8"
40,1302,"M12"
75,1290,"V13"
78,1289,"V4"
39,1285,"M11"
30,1283,"I2"
76,1282,"V2"
49,1278,"M9"
34,1271,"I6"
24,1251,"E4"
81,1239,"V7"
35,1236,"I7"
31,1228,"I3"
14,1219,"E13"
51,1213,"P10"
55,1212,"P2"
63,1209,"S1"
50,1203,"P1"
38,1199,"M10"
17,1196,"E16"
15,1193,"E14"
52,1191,"P11"
61,1178,"P8"
12,1171,"E11"
16,1159,"E15"
26,1158,"E6"
23,1154,"E3"
36,1150,"I8"
33,1149,"I5"
48,1148,"M8"
28,1140,"E9"
19,1134,"E18"
62,1126,"P9"
71,1121,"S9"
37,1117,"I9"
13,1114,"E12"
18,1110,"E17"
21,1106,"E2"
43,1106,"M17"
44,1095,"M18"
11,1089,"E10"
67,1086,"S4"
64,1082,"S10"
65,1079,"S11"
25,1031,"E5"
22,969,"E20"
10,874,"E1"
80,627,"V6"
72,553,"V1"
74,504,"V12"
82,412,"V8"
73,250,"V11"
42,226,"M16"
6,196,"D6"
5,178,"D5"
8,178,"D8"
9,163,"D9"
7,151,"D7"
3,134,"D3"
1,112,"D1"
2,90,"D2"
4,65,"D4"
