"Variable","Importance","Rank"
"E11",0.080385871411978,1
"E9",0.0723249893294988,2
"E12",0.071172487351095,3
"I7",0.0697629243772927,4
"V10",0.0686376910684149,5
"M8",0.0650287493383471,6
"M1",0.0627641543867986,7
"M11",0.0623877685213695,8
"M14",0.0621842444308586,9
"E18",0.0610629767822098,10
"E15",0.0600879868710328,11
"V11",0.0600520552598532,12
"M9",0.0595977093667956,13
"M13",0.0593837725157366,14
"I1",0.0586072567830786,15
"V9",0.0583606549711431,16
"I9",0.0574382365346682,17
"E5",0.0571002765347376,18
"E2",0.0569481932671716,19
"M16",0.0568119723789677,20
"I5",0.0567414273746054,21
"P2",0.0561607845043934,22
"I6",0.0545541162055782,23
"S4",0.0534979198466864,24
"P13",0.0530366695458924,25
"I8",0.0527268970251178,26
"risk_free_rate",0.0524178090225523,27
"S6",0.0523048099047714,28
"V4",0.0522305333736976,29
"I3",0.0515890450726324,30
"E19",0.0510097788092696,31
"S10",0.05064852285319,32
"S1",0.0505955461507267,33
"M5",0.0502983489255269,34
"I4",0.0502143939665538,35
"E10",0.0496119356460984,36
"M6",0.0486371018156222,37
"S7",0.0484548496026656,38
"I2",0.0479253146337852,39
"S8",0.0478892924488338,40
"V6",0.0477706927688277,41
"V7",0.0477524710794678,42
"E17",0.0476991993268222,43
"M7",0.0476721276676403,44
"V2",0.0469726083327286,45
"M4",0.0467843628931003,46
"M2",0.0461965038837286,47
"S2",0.0459458335397729,48
"E3",0.0455741968963939,49
"E8",0.0449706113260976,50
"M12",0.0443659386592913,51
"P1",0.0443424098500851,52
"E16",0.0443245089637679,53
"P10",0.0442491667401852,54
"P11",0.043926635927687,55
"V13",0.0431421989487854,56
"V12",0.0426864833776801,57
"M17",0.0422915705931438,58
"E1",0.0421587270407592,59
"S11",0.0421189462129478,60
"E20",0.0418235711237011,61
"V3",0.0413316949473046,62
"P9",0.0402925868114548,63
"S3",0.0396006686493373,64
"E4",0.0390905336447823,65
"V8",0.0388068057486975,66
"P8",0.0387673599779445,67
"P6",0.0381311889496448,68
"E6",0.0380504629663492,69
"M10",0.0373526965447666,70
"M18",0.0368785898085313,71
"S9",0.0350817366453593,72
"V5",0.0347714318138078,73
"P5",0.0337892387973397,74
"M3",0.0326230807726993,75
"S12",0.0321649366694353,76
"P7",0.0310609880572861,77
"S5",0.0291156467649035,78
"V1",0.028260656768298,79
"P12",0.028029889864908,80
"E13",0.0275291627612106,81
"E7",0.0257480014614714,82
"M15",0.0251306075838754,83
"E14",0.0229900321150611,84
"forward_returns",0.0128466769154319,85
"market_forward_excess_returns",0.00998698898233806,86
"D4",0.0097448928669389,87
"D9",0.00701024697345006,88
"D5",0.00646055700081438,89
"P4",0.00587346187713279,90
"D8",0.00554070338023967,91
"P3",0.00401168260338312,92
"D6",0.00333975044081519,93
"D1",0.00296226499457869,94
"D2",0.00291749529155709,95
"D7",0.00191370868687814,96
"D3",0.00137931265170818,97
