"open_thr","close_thr","m_thr","p_thr","Sharpe","Ann_Ret","Score"
0.55,0.52,0.4,1,1.42938365356753,0.248098655339136,2.10111135979062
0.55,0.52,0.2,1,1.32984729085875,0.250770465268675,2.02928346382501
0.55,0.52,0,1,1.13060041375687,0.265133050700434,1.97884437970774
0.55,0.52,0.3,1,1.34442591872173,0.240263545491233,1.93505748002125
0.55,0.52,0,0.8,1.19932220999125,0.2518479906091,1.90997123182159
0.57,0.52,0.4,1,1.35613292759964,0.230392052810636,1.84454089560483
0.55,0.52,0,0.7,1.19136076659165,0.243783152478085,1.81850229206747
0.55,0.52,0.4,0.9,1.34004881466037,0.229105903446289,1.81514558735739
0.57,0.52,0.2,1,1.27586117252376,0.234234215756881,1.80408839539985
0.57,0.52,0.3,1,1.31622326162731,0.229201233519681,1.79231723699871
0.59,0.52,0.4,1,1.3871947591206,0.221452551122927,1.78302166101304
0.57,0.52,0,1,1.09778075466356,0.241687947786176,1.70326611245872
0.59,0.52,0.2,1,1.27750778730769,0.221948027300469,1.67851165391205
0.59,0.52,0.3,1,1.32497903538734,0.216915045063269,1.67384665091581
0.55,0.52,0.1,1,1.11575197209886,0.236220897668729,1.6646187984814
0.55,0.52,0.2,0.9,1.22785256910459,0.222341753734163,1.63295442561493
0.55,0.52,0.6,1,1.42799659681765,0.202739391940161,1.63003274715786
0.57,0.52,0,0.8,1.14361751221286,0.230182511108654,1.62994547620824
0.55,0.52,0.5,1,1.38704667959,0.206672943000867,1.62983178941205
0.55,0.51,0.4,1,1.16845344643322,0.226925209574695,1.62104177766187
0.59,0.52,0.4,0.9,1.33602942141547,0.210321990672099,1.61662173051281
0.59,0.53,0.3,1,1.52092538345446,0.19203933365193,1.61212388334498
0.59,0.53,0.1,1,1.45212445887763,0.198240390797171,1.60756355911703
0.59,0.53,0.4,1,1.52844243702266,0.190042604339039,1.59896176238193
0.59,0.52,0,1,1.10433872398535,0.227883373283742,1.56687586443644
0.55,0.52,0.3,0.9,1.23198019059089,0.214656409163772,1.55749907366433
0.57,0.52,0.4,0.9,1.26418594792209,0.211399300917789,1.55596408601287
0.59,0.53,0,0.7,1.38628337006193,0.199067933898432,1.55031944123532
0.57,0.52,0,0.7,1.13774740224078,0.222627537013855,1.54584659433694
0.59,0.51,0.4,1,1.17549567742661,0.21867933734621,1.54269557736673
0.59,0.52,0.1,1,1.17488082247965,0.216880025476516,1.52344922799866
0.55,0.52,0.7,0.9,1.44501262715463,0.190548867393052,1.52080952113906
0.55,0.53,0.4,1,1.3045086196933,0.203397898583135,1.51341573515306
0.59,0.53,0.2,1,1.43954745891323,0.190107297300676,1.51077423309008
0.55,0.52,0.6,0.9,1.38939154578224,0.194207911159657,1.50310109302559
0.55,0.52,0.7,1,1.43074950301363,0.190079080298752,1.50168780909721
0.59,0.53,0.4,0.9,1.49720704804544,0.183459830427499,1.4995753861049
0.59,0.52,0,0.7,1.1683134732565,0.21479809735713,1.49532642685954
0.53,0.48,0.4,1,1.08727657711205,0.222317880528826,1.49219062057434
0.53,0.49,0.4,1,1.08727657711205,0.222317880528826,1.49219062057434
0.55,0.52,0.5,0.9,1.33709012985318,0.196268930137209,1.47216348789773
0.55,0.48,0.4,1,1.08036568160551,0.220905277199427,1.47065523177848
0.55,0.49,0.4,1,1.08036568160551,0.220905277199427,1.47065523177848
0.59,0.48,0.4,1,1.08365951948244,0.220569437476185,1.47047008013567
0.59,0.49,0.4,1,1.08365951948244,0.220569437476185,1.47047008013567
0.57,0.48,0.4,1,1.07947717581039,0.220613625334367,1.46674706579444
