"Feature_Idx","Frequency","Feature"
46,890,"M4"
66,628,"S2"
60,503,"P7"
20,479,"E19"
57,456,"P4"
75,453,"V13"
53,442,"P12"
51,440,"P10"
68,440,"S5"
39,434,"M11"
49,423,"M9"
16,392,"E15"
45,392,"M3"
38,390,"M10"
77,389,"V3"
58,384,"P5"
56,382,"P3"
81,378,"V7"
41,376,"M15"
34,371,"I6"
52,369,"P11"
69,363,"S6"
76,363,"V2"
54,346,"P13"
23,333,"E3"
40,330,"M12"
47,328,"M7"
29,327,"I1"
78,326,"V4"
21,322,"E2"
61,318,"P8"
70,316,"S7"
79,316,"V5"
15,307,"E14"
44,307,"M18"
55,306,"P2"
62,303,"P9"
18,300,"E17"
59,299,"P6"
13,298,"E12"
50,298,"P1"
12,297,"E11"
67,294,"S4"
17,293,"E16"
32,293,"I4"
30,291,"I2"
19,289,"E18"
25,288,"E5"
43,286,"M17"
35,285,"I7"
37,278,"I9"
36,273,"I8"
63,270,"S1"
65,269,"S11"
26,268,"E6"
28,266,"E9"
14,265,"E13"
33,264,"I5"
71,262,"S9"
22,259,"E20"
27,259,"E8"
48,258,"M8"
10,256,"E1"
11,256,"E10"
31,256,"I3"
24,255,"E4"
64,212,"S10"
80,149,"V6"
72,146,"V1"
74,139,"V12"
82,112,"V8"
73,102,"V11"
42,97,"M16"
7,59,"D7"
5,36,"D5"
8,35,"D8"
6,31,"D6"
9,30,"D9"
2,23,"D2"
3,21,"D3"
4,19,"D4"
1,17,"D1"
